Appointment Date,Satisfaction
01-01-2024,3.263157894736842
01-02-2024,2.8461538461538463
01-03-2024,2.789473684210526
01-04-2023,2.736842105263158
01-04-2024,2.8333333333333335
01-05-2023,3.0
01-05-2024,2.857142857142857
01-06-2023,2.730769230769231
01-06-2024,3.588235294117647
01-07-2023,2.933333333333333
01-07-2024,3.0588235294117645
01-08-2023,2.2142857142857144
01-08-2024,3.25
01-09-2023,3.1666666666666665
01-09-2024,2.8260869565217392
01-10-2023,2.933333333333333
01-10-2024,2.7
01-11-2023,2.411764705882353
01-12-2023,2.125
02-01-2024,3.4285714285714284
02-02-2024,2.5
02-03-2024,2.875
02-04-2023,3.5384615384615383
02-04-2024,3.6842105263157894
02-05-2023,2.8125
02-05-2024,2.857142857142857
02-06-2023,2.4705882352941178
02-06-2024,2.8
02-07-2023,3.111111111111111
02-07-2024,3.1578947368421053
02-08-2023,2.8
02-08-2024,3.3157894736842106
02-09-2023,3.1666666666666665
02-09-2024,2.9411764705882355
02-10-2023,2.857142857142857
02-10-2024,3.272727272727273
02-11-2023,2.9166666666666665
02-12-2023,2.8666666666666667
03-01-2024,3.6923076923076925
03-02-2024,3.5
03-03-2024,3.0
03-04-2023,2.7857142857142856
03-04-2024,3.2941176470588234
03-05-2023,3.5
03-05-2024,2.5714285714285716
03-06-2023,2.8947368421052633
03-06-2024,3.0
03-07-2023,3.125
03-07-2024,3.0833333333333335
03-08-2023,2.4705882352941178
03-08-2024,3.2857142857142856
03-09-2023,3.764705882352941
03-09-2024,3.9
03-10-2023,2.8666666666666667
03-10-2024,2.7222222222222223
03-11-2023,3.5714285714285716
03-12-2023,3.2857142857142856
04-01-2024,3.3181818181818183
04-02-2024,2.6666666666666665
04-03-2024,2.7857142857142856
04-04-2023,2.0
04-04-2024,2.45
04-05-2023,3.0625
04-05-2024,3.533333333333333
04-06-2023,2.764705882352941
04-06-2024,3.7333333333333334
04-07-2023,2.875
04-07-2024,3.5555555555555554
04-08-2023,2.5833333333333335
04-08-2024,2.9411764705882355
04-09-2023,3.1333333333333333
04-09-2024,3.3125
04-10-2023,2.9444444444444446
04-10-2024,3.5
04-11-2023,3.2941176470588234
04-12-2023,3.0
05-01-2024,3.526315789473684
05-02-2024,3.263157894736842
05-03-2024,2.642857142857143
05-04-2023,3.1578947368421053
05-04-2024,3.1333333333333333
05-05-2023,3.0
05-05-2024,2.6363636363636362
05-06-2023,2.6666666666666665
05-06-2024,3.142857142857143
05-07-2023,1.75
05-07-2024,2.933333333333333
05-08-2023,3.0434782608695654
05-08-2024,3.0526315789473686
05-09-2023,3.230769230769231
05-09-2024,2.090909090909091
05-10-2023,2.8421052631578947
05-10-2024,2.909090909090909
05-11-2023,2.7058823529411766
05-12-2023,2.9375
06-01-2024,3.2666666666666666
06-02-2024,2.6666666666666665
06-03-2024,2.9375
06-04-2023,2.9285714285714284
06-04-2024,2.4705882352941178
06-05-2023,2.8125
06-05-2024,2.9411764705882355
06-06-2023,3.235294117647059
06-06-2024,4.363636363636363
06-07-2023,2.8333333333333335
06-07-2024,3.2
06-08-2023,2.1
06-08-2024,3.0
06-09-2023,3.5454545454545454
06-09-2024,2.823529411764706
06-10-2023,3.3333333333333335
06-10-2024,3.1818181818181817
06-11-2023,2.75
06-12-2023,2.727272727272727
07-01-2024,2.75
07-02-2024,2.8461538461538463
07-03-2024,2.8846153846153846
07-04-2023,2.1818181818181817
07-04-2024,3.1875
07-05-2023,3.0
07-05-2024,3.066666666666667
07-06-2023,2.7058823529411766
07-06-2024,3.0
07-07-2023,2.6
07-07-2024,3.2222222222222223
07-08-2023,2.611111111111111
07-08-2024,3.8
07-09-2023,2.9285714285714284
07-09-2024,3.0
07-10-2023,3.066666666666667
07-10-2024,3.142857142857143
07-11-2023,3.210526315789474
07-12-2023,2.5714285714285716
08-01-2024,3.2857142857142856
08-02-2024,3.4210526315789473
08-03-2024,3.0714285714285716
08-04-2023,2.6818181818181817
08-04-2024,3.2
08-05-2023,2.9
08-05-2024,3.0
08-06-2023,3.1578947368421053
08-06-2024,3.55
08-07-2023,2.5833333333333335
08-07-2024,3.473684210526316
